ppCode,ppName,geometries
K0111,KINTA ROAD OFF STREET ,"1.3097434366680558, 103.85325694341977"
K0113,KIM YAM ROAD ,"1.2928662896978314, 103.84002423838311"
K0114,KAMPONG BUGIS ,"1.307621915137634, 103.86606698184741"
K0115,KAKI BUKIT PLACE ,"1.3340680569119592, 103.90313584982256"
K0120,KEMPAS ROAD ,"1.3152065258208083, 103.85995870040493"
K0121,KAMPONG KAPOR ROAD OFF STREET,"1.3065791639622755, 103.85405181382725"
L0002,LEMBU ROAD ,"1.3098606889316167, 103.8546199866407"
L0003,LIANG SEAH STREET ,"1.2980799359505673, 103.85635758243968"
L0004,LORONG 4 GEYLANG ,"1.310389122281514, 103.8759927151735"
L0005,LLOYD ROAD ,"1.2971493840050985, 103.8397336883393"
L0008,LORONG KILAT ,"1.3410277091201943, 103.77332155358862"
L0009,LORONG TELOK ,"1.2866930179603193, 103.84863413530736"
L0011,LINK ROAD ,"1.3278565643278852, 103.71189749675266"
L0013,LORONG 6 GEYLANG ,"1.3105840054474822, 103.87657749204801"
L0014,LORONG 7 GEYLANG ,"1.3124549053344012, 103.87587124922582"
L0015,LORONG 8 GEYLANG ,"1.3106746667649078, 103.8771642251342"
L0016,LORONG 9 GEYLANG ,"1.3128167484441662, 103.87641622100674"
L0018,LORONG 11 GEYLANG ,"1.3130212381603232, 103.87697172840116"
L0019,LORONG 12 GEYLANG ,"1.3108850729756165, 103.87840783174387"
L0020,LORONG 13 GEYLANG ,"1.3131769183381377, 103.87752486015891"
L0021,LORONG 14 GEYLANG ,"1.3111559321918766, 103.87918557989893"
L0022,LORONG 15 GEYLANG ,"1.3133138202310153, 103.87822481552891"
L0023,LORONG 16 GEYLANG ,"1.3114882567350938, 103.87989109052094"
L0024,LORONG 17 GEYLANG ,"1.31347485949051, 103.8787228951846"
L0025,LORONG 18 GEYLANG ,"1.3115960698748195, 103.88069263940078"
L0026,LORONG 19 GEYLANG ,"1.3141051777784847, 103.87912756933407"
L0027,LORONG 20 GEYLANG ,"1.3116372926203501, 103.88130567511712"
L0028,LORONG 21 GEYLANG ,"1.3142982415379139, 103.87999907630311"
L0029,LOK YANG WAY ,"1.3246010568040631, 103.6895388993424"
L0030,LORONG BACHOK ,"1.3139333950185894, 103.87959617064332"
L0031,LORONG TAHAR ,"1.312532755276347, 103.87558034253621"
L0032,LORONG 23 GEYLANG ,"1.3145163883665885, 103.88134398126941"
L0033,LORONG 24 GEYLANG ,"1.31206462905687, 103.8833332967412"
L0034,LORONG 24A GEYLANG ,"1.3122534942005006, 103.88402786630142"
L0035,LORONG 25 GEYLANG ,"1.3147337034597528, 103.88245532904237"
L0036,LORONG 25A GEYLANG ,"1.3142686857029908, 103.8830875251819"
L0037,LORONG 26 GEYLANG ,"1.3124255775417897, 103.88486405683268"
L0038,LORONG 27 GEYLANG ,"1.315906623956455, 103.88381980514535"
L0039,LORONG 27A GEYLANG ,"1.3145528143373175, 103.8847747315396"
L0040,LORONG 28 GEYLANG ,"1.312519241356278, 103.88557136244856"
L0041,LORONG 29 GEYLANG ,"1.314788133183545, 103.885828588924"
L0042,LORONG 30 GEYLANG ,"1.3127072953457974, 103.88631802924253"
L0043,LORONG 31 GEYLANG ,"1.3149714549333684, 103.88689240850246"
L0044,LORONG 32 GEYLANG ,"1.3128133772684307, 103.88695098029665"
L0045,LORONG 33 GEYLANG ,"1.3150697308745238, 103.88778411271817"
L0046,LORONG 34 GEYLANG ,"1.312979046754089, 103.88787001278205"
L0047,LORONG 35 GEYLANG ,"1.3153492113563858, 103.8885085810495"
L0048,LORONG 36 GEYLANG ,"1.3130286775602933, 103.88847558302314"
L0049,LORONG 37 GEYLANG ,"1.3156266448673604, 103.88964047548366"
L0050,LORONG 38 GEYLANG ,"1.3136024031050808, 103.88894163274928"
L0051,LORONG 39 GEYLANG ,"1.315572628103139, 103.89074437542645"
L0052,LORONG 40 GEYLANG ,"1.3139381637837333, 103.88974038331854"
L0053,LORONG 41 GEYLANG ,"1.3158488579403296, 103.89133052130668"
L0056,LORONG 28 SERVICE ROAD GEYLANG,"1.3114533491699898, 103.8860541368478"
L0057,LORONG 39 SERVICE ROAD GEYLANG,"1.3159212013854857, 103.8904068690608"
L0058,LIM TUA TOW ROAD OFF STREET,"1.3538507671663274, 103.87718550956127"
L0060,LORONG BAKAR BATU ,"1.3270802844962026, 103.87352140671766"
L0061,LIM TUA TOW ROAD ,"1.3544846619406676, 103.87639900122804"
L0064,LORONG 21 GEYLANG OFF STREET,"1.3138418922599073, 103.87984207773484"
L0065,LORONG PENDEK ,"1.3293272292184282, 103.87477876354693"
L0074,LORONG 21A GEYLANG ,"1.3150372897496707, 103.8805343949312"
L0076,LORONG MELAYU ,"1.319476682183487, 103.91063886728132"
L0077,LENG KEE ROAD ,"1.2907419191843652, 103.81226469969438"
L0078,LORONG MYDIN OFF STREET,"1.3191579615934352, 103.91187813269342"
L0079,LORONG MARZUKI ,"1.3191816972738029, 103.9095159209783"
L0081,LORONG AMPAS ,"1.3261558688033757, 103.8529770160339"
L0082,LORONG SARINA ,"1.318882192414792, 103.90783514624943"
L0083,LORONG MARICAN ,"1.3191475313757446, 103.90898359314426"
L0085,LOYANG WAY ,"1.3826825228668151, 103.97446447125768"
L0086,LOYANG CLOSE HEAVY VEHICLE PARK,"1.3694046909855626, 103.96570981178752"
L0087,LOYANG CRESCENT ,"1.383285702793747, 103.9715824319531"
L0088,LOYANG DRIVE ,"1.3709507998509376, 103.96700256180213"
L0089,LOYANG LANE ,"1.3742433492743127, 103.96720121437636"
L0092,LITTLE ROAD ,"1.3382838971039723, 103.88516973902557"
L0096,LORONG 101 CHANGI ,"1.3155945510878677, 103.89975075135084"
L0097,LORONG 102 CHANGI ,"1.3158995053010216, 103.90089108592315"
L0098,LORONG 104 CHANGI ,"1.3165855173633312, 103.90202843271408"
L0099,LORONG 105 CHANGI ,"1.3157592556396136, 103.90282082244693"
L0100,LORONG 106 CHANGI ,"1.3166125899851646, 103.90330378897256"
L0101,LORONG 107 CHANGI ,"1.3165043154648133, 103.90395697085155"
L0102,LORONG 108 CHANGI ,"1.316622884334436, 103.90457406883716"
L0103,LANGSAT ROAD ,"1.314997566415824, 103.90077029748224"
L0104,LORONG BEKUKONG OFF STREET,"1.39021141294832, 103.98732091158159"
L0107,LORONG BACHOK OFF STREET,"1.3137312534599566, 103.87944145465497"
L0109,LOYANG WAY 1 ,"1.3749344942532036, 103.97204895828015"
L0110,LOYANG STREET ,"1.3744333039953576, 103.96892423482204"
L0113,LORONG 3 GEYLANG ,"1.3116839076360358, 103.8744105236265"
L0115,LORONG 1 GEYLANG ROAD OFF STREET,"1.3105826580238997, 103.87206975884789"
L0116,LORONG 21 GEYLANG - GEYLANG ROAD OFF ST,"1.312971928022217, 103.88051592242519"
L0117,LORONG 25-25A GEYLANG OFF STREET,"1.3154114085907782, 103.8828291319692"
L0118,LORONG 36 GEYLANG OFF STREET,"1.3132360006956598, 103.88854189511314"
L0120,LORONG MYDIN ,"1.3196206140414664, 103.91159868431546"
L0123,LORONG 9-11 GEYLANG OFF STREET,"1.3132431536117768, 103.87646592168615"
L0124,LORONG 37 GEYLANG OFF STREET,"1.315091678313214, 103.88943334952762"
L0125,LORONG 31 GEYLANG OFF STREET,"1.3150474541197856, 103.88714181973816"
M0001,MACKENZIE ROAD ,"1.3063020613774543, 103.8474041616571"
M0003,MARNE ROAD  ,"1.3128115742285216, 103.85707205609744"
M0005,MAYO STREET ,"1.3041506265761047, 103.85369928070959"
M0006,MCCALLUM STREET ,"1.279623179619778, 103.8474086727901"
M0009,MISTRI ROAD ,"1.2738658443204638, 103.84597766833805"
M0011,MOSQUE STREET ,"1.2838318739564183, 103.84473801140197"
M0015,MOHAMED SULTAN ROAD ,"1.2923876175695568, 103.840963879678"
M0017,MIDDLE ROAD OFF STREET ,"1.3016696643410812, 103.85062276839884"
M0020,MAUDE ROAD ,"1.3080306601417064, 103.85830807677682"
M0026,MANILA STREET ,"1.2991329603044939, 103.85394801601971"
M0032,MARSILING CRESCENT ,"1.4486218113080616, 103.77522379624229"
M0038,MAJU AVENUE ,"1.3650268060221555, 103.86563399920979"
M0039,MAJU AVENUE SERVICE ROAD,"1.3653014102964127, 103.86553572733226"
M0040,MACKENZIE ROAD A OFF STREET,"1.3051668625928712, 103.84955574725186"
M0043,MOUNT EMILY ROAD ,"1.304210333132266, 103.84942595956588"
M0048,MARTABAN ROAD ,"1.3237458394850745, 103.8510604634408"
M0049,MINBU ROAD ,"1.3234682088699843, 103.84998436836146"
M0055,MOONSTONE LANE ,"1.327090038812221, 103.86650163940598"
M0058,MACPHERSON ROAD ,"1.3322360752021478, 103.88336497095351"
M0059,MACKENZIE ROAD B OFF STREET,"1.3058536755295906, 103.84756472413167"
M0063,MAYNE ROAD ,"1.3058059219264757, 103.8488522851631"
M0066,MACTAGGART ROAD ,"1.3345178252158263, 103.88440400233526"
M0072,MANDALAY ROAD ,"1.3244655428508607, 103.85027798462686"
M0074,MAKEWAY AVENUE ,"1.3123101420026468, 103.84191058742047"
M0076,MINBU ROAD OFF STREET ,"1.3252001003253115, 103.84890841545031"
M0077,MOHD SULTAN ROAD-RIVER VALLEY ROAD OFF STREET,"1.294169387946277, 103.841598721766"
M0078,MARITIME SQUARE D OFF STREET,"1.2665572188626195, 103.82037098540377"
M0079,MARSILING CRESCENT HEAVY VEHICLE PARK,"1.4473014614614004, 103.77663004925351"
M0080,MARSHALL ROAD ,"1.3055967767449563, 103.90199625367171"
M0084,MARINA VIEW OFF STREET ,"1.2746496875187128, 103.84947277096808"
M0085,MARTIN PLACE- MUTHURAMAN CHETTY ROAD,"1.293106776999203, 103.83827792869968"
M0088,MARGARET DRIVE OFF STREET,"1.3004199971201515, 103.8030164012201"
N0003,NORTH BRIDGE ROAD (ARAB-JALAN SULTAN),"1.3034105957781723, 103.85953209451824"
N0005,NEW INDUSTRIAL ROAD ,"1.3431357627958878, 103.88563151767886"
N0006,NEIL ROAD OFF STREET ,"1.279338310998562, 103.84191274173"
N0010,NIVEN ROAD ,"1.3035177848974093, 103.84959486119152"
N0011,NORRIS ROAD ,"1.3079993909230172, 103.8537239381909"
N0012,NORTH BRIDGE ROAD MARKET OFF STREET,"1.3060825735318777, 103.86355580061465"
N0013,NORTH BRIDGE ROAD OFF  STREET,"1.30040035774359, 103.85664662676147"
N0014,NORTH CANAL ROAD ,"1.2861877183064325, 103.84852597142837"
N0016,NEYTHAL ROAD ,"1.3250917890630778, 103.70307728273856"
N0020,NEW MARKET ROAD ,"1.2871983831020966, 103.84473878470675"
N0023,NETHERAVON ROAD ,"1.3912994474442582, 103.98516107687985"
N0047,NEIL ROAD ,"1.279313157191964, 103.84211962636888"
O0004,OLD UPPER THOMSON ROAD ,"1.377260221603684, 103.82751069442747"
O0005,OLD UPPER THOMSON ROAD OFF STREET,"1.3775043730718113, 103.82800448318493"
O0007,OWEN ROAD- DORSET ROAD - CAMBRIDGE ROAD,"1.3159846212296504, 103.85093559530615"
O0008,OLD AIRPORT ROAD ,"1.3072646388285465, 103.88455098561536"
O0010,OUTRAM ROAD ,"1.2854353933010318, 103.83477149495425"
O0013,OUTRAM HILL ,"1.2850357706711935, 103.83596801812122"
O0026,OPAL CRESCENT ,"1.327995169482195, 103.86695090104385"
O0027,ONAN ROAD ,"1.3114014466749513, 103.90017062668574"
O0028,OUTRAM ROAD OFF STREET ,"1.2843804041475033, 103.83543041047"
O0029,ONAN ROAD OFF STREET ,"1.3098000920281019, 103.90149917980155"
O0031,ONAN ROAD - JOO CHIAT ROAD OFF STREET,"1.3142352186665527, 103.89858964932613"
P0002,PAHANG STREET ,"1.302050439508258, 103.86111932360127"
P0006,PECK SEAH STREET ,"1.2777647240431087, 103.84491303130993"
P0009,PENANG LANE ,"1.2975030588610459, 103.84432770271218"
P0011,PETAIN ROAD (SERANGOON ROAD - JALAN BESAR),"1.312217562685203, 103.85813538202343"
P0013,PRINCE EDWARD ROAD - SHENTON WAY OFF STREET,"1.2751330286041636, 103.84819161939345"
P0015,PRINSEP STREET (MIDDLE-ROCHOR CANAL),"1.3007861066087916, 103.85057914519965"
P0018,PURVIS STREET ,"1.296474928534986, 103.85520250348377"
P0023,PLUMER ROAD ,"1.3096910373693615, 103.85849767342917"
P0024,PRINCE OF WALES ROAD ,"1.323060319923738, 103.8087195213367"
P0025,PRINCESS OF WALES ROAD ,"1.3239226303689602, 103.80851455818164"
P0028,PROME ROAD ,"1.3254111449196928, 103.84956698590129"
P0031,PEPYS ROAD OFF STREET ,"1.276417775119924, 103.79372027090795"
P0033,PASIR RIS CLOSE OFF STREET,"1.3769386098926322, 103.95649247971933"
P0035,PHENG GECK AVENUE ,"1.3311856951858714, 103.86983478600565"
P0036,PUAY HEE AVENUE ,"1.3304093774742605, 103.870348280308"
P0038,PERAK ROAD ,"1.305371163045984, 103.85386779052449"
P0048,PEARL BANK OFF STREET ,"1.2833483597848285, 103.84053784909118"
P0049,PENSHURST PLACE ,"1.363800550932958, 103.86465625372881"
P0051,PENHAS ROAD ,"1.3093454016258246, 103.86273120151641"
P0054,PASIR PANJANG FOOD CENTRE OFF STREET,"1.276199590286873, 103.79131016138147"
P0055,PETAIN ROAD (JALAN BESAR - TYRWHITT ROAD),"1.3110077068518966, 103.859503084536"
P0072,PENNEFATHER ROAD ,"1.3093220458524022, 103.90107629417254"
P0075,PENHAS ROAD - LAVENDER STREET OFF STREET,"1.3099941806465902, 103.86276472942544"
P0076,PANDAN ROAD ,"1.2992288319165772, 103.7519167655235"
P0077,PANDAN AVENUE ,"1.3024311127383164, 103.7499038045137"
P0078,PANDAN CRESCENT ,"1.3056123450362906, 103.75743761459256"
P0081,PIONEER SECTOR 1 ,"1.3035646723077288, 103.65468147493097"
P0082,PIONEER SECTOR 2 ,"1.2949369071796557, 103.66620151143846"
P0083,PIONEER SECTOR 3 ,"1.3072057418392053, 103.66075887513685"
P0086,PANDAN LOOP ,"1.3127780086926963, 103.75231697708965"
P0093,PASIR PANJANG ROAD OFF  STREET,"1.2767043723282894, 103.79566016940367"
P0094,PASIR PANJANG ROAD - SOUTH BUONA VISTA ROAD,"1.2789022091430708, 103.78560248250298"
P0095,PENJURU CLOSE ,"1.3126769665890134, 103.73231076130331"
P0096,PENANG ROAD OFF STREET ,"1.2998087492074721, 103.84212527391576"
P0099,PIONEER SECTOR WALK ,"1.2962115353937262, 103.66788740229997"
P0102,PANDAN GARDENS ,"1.321504135839906, 103.74796450519379"
P0106,PASIR PANJANG ROAD- CLEMENTI ROAD OFF ST,"1.29159786910618, 103.7681250437031"
P0109,PASIR RIS PARK CAR PARK E OFF STREET,"1.3845964154026653, 103.94389307173309"
P0111,PAHANG STREET OFF STREET,"1.3017596501752744, 103.86086565472469"
P0113,PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,"1.2753574846099038, 103.79247441821589"
P0116,PRINCE PHILIP AVENUE ,"1.2916392265292667, 103.82106470563158"
P0117,PECK SEAH STREET OFF STREET,"1.277473298043955, 103.84526725219935"
Q0001,QUEEN STREET ,"1.2999433707583452, 103.85381802110875"
Q0002,QUEEN STREET (ARAB STREET - ROCHOR ROAD),"1.3031498047288022, 103.85653933236863"
Q0004,QUALITY ROAD ,"1.334272555770893, 103.71042331958759"
Q0006,QUEEN STREET OFF STREET,"1.2999226816597822, 103.85336325926617"
Q0008,QUEENSWAY OFF STREET ( RIDEOUT TEA GARDEN),"1.3046789409765749, 103.8021651248372"
R0001,RACE COURSE LANE ,"1.3098279372634671, 103.8528668177135"
R0002,RACE COURSE ROAD ,"1.3147622858275008, 103.8567104745521"
R0003,RANGOON ROAD ,"1.3165261588335118, 103.85315289910942"
R0006,RIVERSIDE ROAD ,"1.4438317259656632, 103.78046007883341"
R0010,RIVER VALLEY ROAD(BET TANK RD-ZION RD),"1.2942755310822924, 103.84197446582948"
R0011,ROBERTS LANE ,"1.3106100630738684, 103.85359733669644"
R0015,ROWELL ROAD ,"1.3086597256959704, 103.85477347547008"
R0028,RUBY LANE ,"1.327487220997478, 103.86698287554047"
R0036,RACE COURSE ROAD (BET BT TIMAH - RANGOON RD),"1.3088534087917834, 103.85124312925082"
R0037,RANGOON LANE OFF STREET,"1.3165411292595013, 103.85419621649343"
R0039,RANGOON LANE ,"1.316521675769006, 103.85394462838862"
R0040,RAFFLES BOULEVARD COACH PARK,"1.2918939916200103, 103.86215245621764"
S0001,SAM LEONG ROAD ,"1.3094292693102945, 103.85680045778852"
S0002,SEAH STREET ,"1.2960041309847734, 103.85474973503676"
S0005,SERANGOON RD(KITCHENER RD-LAVENDER ST),"1.3142468622190588, 103.85737152760264"
S0007,STARLIGHT ROAD - TERRACE,"1.313660865140243, 103.8537885420945"
S0009,SHORT STREET ,"1.3027280905803975, 103.85084759000688"
S0011,SOPHIA ROAD ,"1.3017970125900906, 103.84850915546417"
S0013,SULTAN GATE - ALIWAL STREET COACH PARK,"1.3021294089830222, 103.86067649061297"
S0015,STANLEY STREET ,"1.2803743510458858, 103.84811888589225"
S0018,SULTAN GATE ,"1.3015941053149542, 103.86070054160425"
S0020,SEMBAWANG HILLS FOOD CENTRE OFF STREET,"1.3722654677575001, 103.82882318577835"
S0021,SYED ALWI ROAD (JALAN BESAR - SERANGOON RD),"1.3093504074401368, 103.85586057288157"
S0022,SYED ALWI ROAD(JALAN BESAR-ROCHOR CANAL RD),"1.3072628274603608, 103.85821284471788"
S0023,STURDEE ROAD ,"1.3125923866856732, 103.85883712044901"
S0026,SERVICE ROAD OFF BUKIT  TIMAH ROAD-SIXTH AVE,"1.331186630462876, 103.7962405670121"
S0027,SIAK KEW AVENUE ,"1.3297681960042804, 103.87033340774863"
S0032,SAUNDERS ROAD ,"1.3043949671386996, 103.83874248932828"
S0033,SERVICE ROAD OFF CHOA CHU KANG AVE 1,"1.3768237369675203, 103.74534858891633"
S0035,SERVICE ROAD OFF QUEEN ST(QUEEN-WATERLOO ST),"1.2991456631175438, 103.85244864610209"
S0039,SIMS AVENUE SERVICE ROAD,"1.3143326219638352, 103.87747188040073"
S0040,SECOND CHIN BEE ROAD ,"1.333065448411388, 103.71408661859734"
S0043,SIXTH AVENUE ,"1.331032661311788, 103.79487744381048"
S0044,SELETAR NORTH LINK  ,"1.4212909183263274, 103.89003009143939"
S0045,SING AVENUE ,"1.3155884381480998, 103.85419058275252"
S0046,SING JOO WALK ,"1.314916425943701, 103.85499360884046"
S0047,SHAN ROAD ,"1.3250887357773715, 103.84679343443482"
S0048,SHAW ROAD ,"1.3367490950950158, 103.88462147423054"
S0049,Serangoon Rd-Lavender  St Off Street,"1.314887457719081, 103.85858757139756"
S0050,SIANG KUANG AVENUE ,"1.3296102418612588, 103.87195478123076"
S0055,SERANGOON GARDEN MARKET OFF STREET,"1.3627998666971295, 103.86632587825483"
S0061,SEMBONG ROAD ,"1.441455566956316, 103.82254899770588"
S0063,SERANGOON GARDEN WAY ,"1.3644211688552845, 103.86439411615792"
S0064,SERANGOON GARDEN WAY SERVICE ROAD,"1.3636896218807528, 103.86545497855539"
S0065,SANDOWN PLACE ,"1.3652804689019347, 103.86485284731864"
S0066,SOMME ROAD ,"1.3113372854869005, 103.8584375239199"
S0070,SIMON ROAD SERVICE ROAD,"1.3617716443933623, 103.8857958574461"
S0074,SIN MING DRIVE ,"1.3589288856758748, 103.83744429849524"
S0075,SCIENCE CENTRE ROAD ,"1.3302199612587902, 103.73786914861878"
S0076,SECOND LOK YANG ROAD ,"1.3262898944337713, 103.69162567184011"
S0078,SOON WING ROAD ,"1.327081221840894, 103.87951961427666"
S0079,SERVICE ROAD OFF KING GEORGE'S AVENUE,"1.310701315354854, 103.86188810458476"
S0082,SIXTH LOK YANG ROAD ,"1.3253689904933326, 103.68409073478841"
S0083,SUNGEI KADUT AVENUE ,"1.408344785845381, 103.75104653308742"
S0084,SUNGEI KADUT DRIVE ,"1.4181293866853475, 103.74313051755446"
S0085,SUNGEI KADUT LOOP ,"1.4117420330799455, 103.74361746941592"
S0086,SUNGEI KADUT STREET 1 ,"1.4240352393436402, 103.7499644062273"
S0088,SUNGEI KADUT STREET 3 ,"1.4166951784615989, 103.747142620448"
S0091,SENOKO ROAD ,"1.4643698197516342, 103.80244704926363"
S0092,SENOKO SOUTH ROAD ,"1.4552635796906295, 103.80224449989744"
S0094,SENOKO WAY ,"1.4679701073207942, 103.81311767594975"
S0096,SENOKO DRIVE ,"1.464734314633373, 103.806365764404"
S0097,SENOKO AVENUE ,"1.4688708559057597, 103.80920887354253"
S0098,SIMS AVENUE (BET LOR 3 GEYLANG-PAYA LEBAR RD),"1.3145351191615886, 103.87974890015214"
S0102,SPOTTISWOODE PARK ROAD ,"1.2768547348984522, 103.83703635396971"
S0103,STEVENS ROAD ,"1.3161738857954728, 103.82661231288903"
S0105,SUNGEI KADUT WAY ,"1.4068914037527425, 103.74987930351759"
S0106,SIN MING DRIVE OFF STREET,"1.3566926857451946, 103.83606317799315"
S0108,SHREWSBURY ROAD OFF STREET,"1.3186024746961653, 103.85067798545582"
S0109,SIN MING ROAD HEAVY VEHICLE PARK,"1.3571402592361328, 103.83789214598697"
S0110,SERVICE ROAD OFF ONAN ROAD,"1.3144371873495544, 103.89839213899815"
S0111,STAGMONT RING HEAVY VEHICLE PARK,"1.393551729257746, 103.75359865413249"
S0112,SEAH IM ROAD OFF STREET,"1.2680395173247878, 103.81759598210819"
S0115,SERVICE ROAD BET HAMILTON RD-CAVAN RD,"1.3116658213403591, 103.86163101277657"
S0118,SERVICE ROAD OFF PENHAS ROAD,"1.309594494765863, 103.86254544303561"
S0119,SHREWSBURY ROAD ,"1.3183081872469293, 103.84861499814424"
S0120,SERVICE ROAD BETWEEN PETAIN RD-ALLENBY RD,"1.3109020674140877, 103.85930191274186"
S0127,SERVICE ROAD OFF JOO CHIAT ROAD,"1.3065850993431463, 103.90457682746971"
S0128,SERVICE ROAD OFF CHAI CHEE DRIVE,"1.323715561658147, 103.91914752459606"
S0130,SERVICE ROAD OFF GENTING LANE,"1.3234065658926872, 103.87771580063972"
S0132,SERVICE ROAD OFF ALIWAL STREET,"1.3033122814915914, 103.86078813154113"
S0134,SOMMERVILLE WALK ,"1.3439700941881751, 103.87002378945076"
S0135,SIMS AVENUE (PAYA LEBAR RD-EUNOS RD),"1.3179852347224492, 103.89883724183728"
S0136,SERVICE ROAD OFF ZION ROAD,"1.2937932296169845, 103.83074965700631"
S0139,SERVICE ROAD OFF UPPER BUKIT TIMAH ROAD,"1.3434563451494101, 103.77559593883619"
S0141,SERVICE ROAD OFF UPPER EAST COAST ROAD,"1.3130398112329382, 103.92654639992065"
S0143,SERVICE ROAD OFF LORONG 44 GEYLANG,"1.3144314385116866, 103.89072236094376"
S0146,SERVICE ROAD OFF QUALITY ROAD,"1.334023127921278, 103.71114189572164"
S0148,SUNGEI KADUT CRESCENT ,"1.4096995332657971, 103.74500664222452"
S0149,SERVICE ROAD OFF SIN MING ROAD,"1.3523451867775784, 103.83560911351898"
S0150,SULTAN GATE - ALIWAL STREET OFF STREET,"1.302454560701643, 103.86058819582026"
S0151,SEMBAWANG DRIVE HEAVY VEHICLE PARK,"1.4608933551614407, 103.81486528416033"
S0152,SUNSHINE TERRACE ,"1.345848345257339, 103.87242821480896"
S0156,SIMS PLACE ,"1.3160036787643914, 103.87939631184202"
S0157,SERVICE ROAD OFF JALAN MASJID,"1.3197377373526782, 103.91196726379336"
S0158,SERVICE ROAD OFF MACPHERSON ROAD,"1.3297689168929354, 103.87403794431233"
S0159,SERVICE ROAD OFF BALESTIER ROAD,"1.327041801567898, 103.842931686213"
S0160,SIN MING WALK ,"1.3652678971474295, 103.83116078210058"
S0162,SERVICE ROAD OFF TEBING LANE,"1.393223464732219, 103.916642898863"
S0164,SELETAR AEROSPACE VIEW ,"1.41143864014929, 103.86975928765871"
S0166,SEMBAWANG RD-ADMIRALTY  RD EAST OFF STREET,"1.4536994107812415, 103.83314342266779"
S0167,SERVICE ROAD OFF JALAN SELASEH,"1.3856507456767808, 103.87305457603767"
S0168,SERVICE ROAD OFF JALAN KELULUT,"1.3832282306883241, 103.87584296805267"
S0170,SERVICE ROAD OFF SEMBAWANG ROAD,"1.4535278890270054, 103.83249755303784"
S0171,SPOONER ROAD OFF STREET,"1.2756889219233905, 103.83505914969275"
S0172,SPRINGLEAF ROAD  ,"1.396975551296319, 103.81976339015542"
T0002,TANJONG PAGAR ROAD ,"1.2783777317610752, 103.84381582821872"
T0003,TANK ROAD ,"1.294683459671452, 103.84356786002498"
T0006,TECK LIM ROAD ,"1.2803154982584328, 103.84186939770221"
T0008,TELOK AYER STREET ,"1.281317066623441, 103.8479327276112"
T0009,TEMPLE STREET ,"1.2828708811570342, 103.84415921056501"
T0010,TEO HONG ROAD ,"1.2799875349376124, 103.84067589646705"
T0014,TRAS STREET ,"1.277540821505518, 103.8442669884041"
T0017,TIONG BAHRU PARK OFF STREET,"1.2869316650030556, 103.82464089829911"
T0019,TANJONG PENJURU CRESCENT,"1.3017495153297534, 103.74075918432807"
T0021,TYRWHITT ROAD ,"1.312042366340147, 103.86064863947391"
T0022,TOWNSHEND ROAD ,"1.3076861791300871, 103.858345349621"
T0025,TAI THONG CRESCENT ,"1.328729130391638, 103.86977266694625"
T0031,TALMA ROAD ,"1.3110715695807533, 103.87813652010635"
T0033,TECK CHYE TERRACE ,"1.3532787942493854, 103.87686823971097"
T0036,TAMPINES PLACE  ,"1.3674582611470445, 103.92938262160828"
T0039,TANNERY LANE ,"1.327973843685211, 103.87700884248538"
T0040,THIRD CHIN BEE ROAD ,"1.3338317608744068, 103.71569080646148"
T0043,TAMAN MAS MERAH ,"1.3086833185352988, 103.76383931924305"
T0057,TESSENSOHN ROAD ,"1.3150062749308171, 103.85586677764837"
T0060,TOH GUAN ROAD ,"1.3337787566688375, 103.74883449840804"
T0061,THIRD LOK YANG ROAD ,"1.326258592733345, 103.68980214313878"
T0062,TAI SENG DRIVE ,"1.3378176590391289, 103.89323712445425"
T0065,TAGORE ROAD ,"1.3840653181952143, 103.82932352107741"
T0066,TAGORE INDUSTRIAL AVENUE,"1.3850015325227751, 103.82731934179061"
T0067,TAGORE LANE ,"1.38695903781102, 103.82896898723608"
T0068,TAGORE DRIVE  ,"1.3873823064577397, 103.82665656160943"
T0070,TANGLIN HALT CLOSE ,"1.3047196121130242, 103.79465820758047"
T0074,TAMPINES INDUSTRIAL AVENUE 3,"1.358861245250402, 103.92850898447003"
T0076,TUAS AVENUE 1 ,"1.3207846952677196, 103.65909985122671"
T0077,TUAS AVENUE 3 ,"1.3230256266416673, 103.65483173580398"
T0079,TUAS AVENUE 5 ,"1.3203750355093118, 103.65367256199772"
T0080,TUAS AVENUE 7 ,"1.333008880478855, 103.64434193513078"
T0081,TUAS AVENUE 9 ,"1.3303059662705075, 103.64249270761802"
T0082,TUAS AVENUE 11 ,"1.3210775932692023, 103.64606705932154"
T0083,TUAS AVENUE 12 ,"1.3329527697812364, 103.64387790744847"
T0084,TUAS AVENUE 13 ,"1.3222549454395875, 103.64061352979384"
T0088,TUAS AVENUE 18A ,"1.3226679669680201, 103.63719059924335"
T0090,TUAS DRIVE 1 ,"1.3220778162939792, 103.65763954585323"
T0091,TUAS DRIVE 2 ,"1.3237475066226554, 103.6561566865442"
T0094,TUAS LANE ,"1.329108448099598, 103.64229982959559"
T0096,TUAS WEST AVENUE ,"1.3340780359666737, 103.63975069671613"
T0100,TELOK BLANGAH STREET 31,"1.272806457123952, 103.80575747126295"
T0102,TUAS ROAD ,"1.309108749040259, 103.65078430216536"
T0103,TEMBELING ROAD OFF STREET,"1.3128601116287992, 103.9008128367772"
T0104,TAI SENG AVENUE ,"1.337962946302674, 103.89012688481733"
